Database ID,Sample ID,Ecosystem,Sample type,Common name,Scientific name,Bush food group,Wildlife group,Compartment,Composite count,Dry mass fraction,Sex,Mussel age (y),Soil depth (cm),Family code,Collection date (day/month/year),Location,Status,Easting,Northing,Zone,Datum,Geocoding,U-238,U-238err,U-234,U-234err,Th-230,Th-230err,Ra-226,Ra-226err,Pb-210,Pb-210err,Po-210,Po-210err,Th-232,Th-232err,Ra-228,Ra-228err,Th-228,Th-228err,Ac-227,Ac-227err,K-40,K-40err,Al,As,Ba,Ca,Cd,Co,Cr,Cu,Fe,Hg,K,Mg,Mn,Na,Ni,P,Pb,Rb,S,Sb,Se,Sr,Th,U,V,Zn,Reference,Notes
1,DN15002,Terrestrial,Animal,Green ant - major worker,Oecophylla smaragdina,,Terrestrial-Arthropod,Whole,8030,3.2E-1,,,,ANTX0001,30/07/2015,Eaton - Darwin Airport precinct,Unperturbed,705231,8627300,52S,WGS84,1,,,,,,,3.0E+0,1.2E-1,,,,,,,,,,,,,,,6.4E+0,<1.6E-1,1.5E+1,2.4E+2,1.6E-1,1.6E-2,<1.6E+0,5.8E+0,6.0E+1,<1.6E-2,2.6E+3,3.3E+2,3.0E+1,9.7E+2,,2.1E+3,<6.4E-2,6.5E+0,1.5E+3,<1.6E-2,1.6E+0,6.9E+0,3.2E-3,<3.2E-3,<3.2E+0,5.8E+1,18,
2,DN15003,Terrestrial,Animal,Green ant - minor worker,Oecophylla smaragdina,,Terrestrial-Arthropod,Whole,4060,3.5E-1,,,,ANTX0002,30/07/2015,Eaton - Darwin Airport precinct,Unperturbed,705231,8627300,52S,WGS84,1,,,,,,,3.8E+0,1.0E-1,,,,,,,,,,,,,,,6.9E+0,<1.7E-1,1.4E+1,2.5E+2,1.6E-1,<1.7E-2,<1.7E+0,6.0E+0,7.6E+1,<1.7E-2,3.1E+3,3.6E+2,4.1E+1,1.1E+3,,2.7E+3,6.9E-2,6.3E+0,1.9E+3,<1.7E-2,2.1E+0,8.1E+0,3.5E-3,<3.5E-3,<3.5E+0,8.1E+1,18,
3,DN15004,Terrestrial,Animal,Green ant - larvae,Oecophylla smaragdina,,Terrestrial-Arthropod,Whole,1540,2.2E-1,,,,ANTX0003,30/07/2015,Eaton - Darwin Airport precinct,Unperturbed,705231,8627300,52S,WGS84,1,,,,,,,1.7E-1,1.0E-2,,,,,,,,,,,,,,,4.4E+0,<1.1E-1,6.2E-1,1.6E+2,<1.1E-2,<1.1E-2,<1.1E+0,4.6E+0,3.9E+1,<1.1E-2,2.1E+3,3.2E+2,2.3E+0,8.5E+2,,1.8E+3,<4.4E-2,2.6E+0,9.1E+2,<1.1E-2,1.6E+0,5.6E-1,2.2E-3,<2.2E-3,<2.2E+0,2.9E+1,18,
4,GL15002,Terrestrial,Animal,Green ant - major worker,Oecophylla smaragdina,,Terrestrial-Arthropod,Whole,3540,3.3E-1,,,,ANTX0004,07/09/2015,Gulungul Creek corridor - Approximately 300 m upstream of GCUS,Unperturbed,270789,8594141,53S,WGS84,1,,,,,,,2.2E+1,6.6E-1,5.4E+0,5.3E-1,3.2E+0,5.1E-1,,,,,,,,,,,4.6E+1,<1.6E-1,1.0E+1,3.4E+2,4.9E-2,3.3E-2,<1.6E+0,6.0E+0,7.2E+1,<1.6E-2,3.0E+3,3.4E+2,5.9E+1,1.0E+3,,2.4E+3,1.3E-1,4.0E+0,1.7E+3,<1.6E-2,4.9E-1,6.0E+0,1.3E-2,5.6E-2,<3.3E+0,6.1E+1,18,
5,GL15003,Terrestrial,Animal,Green ant - minor worker,Oecophylla smaragdina,,Terrestrial-Arthropod,Whole,1215,2.4E-1,,,,ANTX0005,07/09/2015,Gulungul Creek corridor - Approximately 300 m upstream of GCUS,Unperturbed,270789,8594141,53S,WGS84,1,,,,,,,1.3E+1,5.9E-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
6,GL15004,Terrestrial,Animal,Green ant - larvae,Oecophylla smaragdina,,Terrestrial-Arthropod,Whole,200,2.4E-1,,,,ANTX0006,07/09/2015,Gulungul Creek corridor - Approximately 300 m upstream of GCUS,Unperturbed,270789,8594141,53S,WGS84,1,,,,,,,1.6E+0,1.4E-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
7,JE15011,Terrestrial,Animal,Green ant - major worker,Oecophylla smaragdina,,Terrestrial-Arthropod,Whole,528,3.4E-1,,,,ANTX0007,07/09/2015,Ranger mine site - Jabiru East land application area,Perturbed,272076,8599127,53S,WGS84,1,,,,,,,1.7E+1,7.6E-1,,,,,,,,,,,,,,,2.1E+1,<1.7E-1,1.7E+1,4.2E+2,1.7E-1,3.4E-2,<1.7E+0,8.8E+0,1.2E+2,<1.7E-2,2.5E+3,3.7E+2,6.1E+1,6.7E+2,,2.5E+3,2.1E-1,6.7E+0,2.0E+3,1.7E-2,1.7E-1,6.2E+0,5.2E-2,1.4E-1,<3.4E+0,1.0E+2,18,
8,JE15012,Terrestrial,Animal,Green ant - minor worker,Oecophylla smaragdina,,Terrestrial-Arthropod,Whole,392,1.2E-1,,,,ANTX0008,07/09/2015,Ranger mine site - Jabiru East land application area,Perturbed,272076,8599127,53S,WGS84,1,,,,,,,7.6E+0,3.8E-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
9,RM08023,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Flesh,1,,,,,BAND0001,10/01/2008,Gulungul Crossing - Arnhem Highway near Gulungul Creek crossing,Unperturbed,269978,8600130,53S,WGS84,1,4.5E-2,1.5E-2,<4.7E-2,,7.6E-2,2.0E-2,4.7E-2,3.9E-3,1.4E-1,7.0E-2,8.0E+0,6.1E-1,2.0E-2,1.1E-2,,,,,,,,,<1.2E+1,<1.2E-1,3.6E-2,7.0E+1,<1.2E-2,,,8.7E-1,<4.8E+0,,4.1E+3,2.6E+2,1.2E-1,,,,<4.8E-2,,2.3E+3,<1.2E-2,4.8E-1,6.1E-2,4.8E-3,2.4E-3,,1.5E+1,18,
10,RM08027,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Heart,1,,,,,BAND0001,10/01/2008,Gulungul Crossing - Arnhem Highway near Gulungul Creek crossing,Unperturbed,269978,8600130,53S,WGS84,1,3.3E-2,1.1E-2,4.2E-2,1.2E-2,1.8E-2,1.1E-2,,,6.4E-1,7.9E-2,1.5E+1,8.8E-1,<1.5E-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
